"11xf -- Kuluttajahintaindeksi (2005=100), kuukausitiedot, 2005M01-2023M02",,
,,
Kuukausi,Hyodyke,Pisteluku
2009M04,01144 Juustot ja rahkat,120.24
2009M04,01151 Voi,96.73
2009M04,011612 Banaanit,104.95
2009M04,011613 Omenat,113.81
2009M05,0111 Viljatuotteet ja leipa,116.67
2009M05,0112 Liha,116.55
2009M05,01141 Maito,130.18
2009M05,01144 Juustot ja rahkat,120.43
2009M05,01151 Voi,94.98
2009M05,011612 Banaanit,101.22
2009M05,011613 Omenat,112.86
2009M06,0111 Viljatuotteet ja leipa,116.81
2009M06,0112 Liha,117.02
2009M06,01141 Maito,130.11
2009M06,01144 Juustot ja rahkat,120.47
2009M06,01151 Voi,93.27
2009M06,011612 Banaanit,105
2009M06,011613 Omenat,114.47
2009M07,0111 Viljatuotteet ja leipa,116.2
2009M07,0112 Liha,116.63
2009M07,01141 Maito,130.12
2009M07,01144 Juustot ja rahkat,119.84
2009M07,01151 Voi,90.05
2009M07,011612 Banaanit,99.65
2009M07,011613 Omenat,113.32
2009M08,0111 Viljatuotteet ja leipa,116.4
2009M08,0112 Liha,116.64
2009M08,01141 Maito,129.74
2009M08,01144 Juustot ja rahkat,119.6
2009M08,01151 Voi,91.86
2009M08,011612 Banaanit,75.15
2009M08,011613 Omenat,110.19
2009M09,0111 Viljatuotteet ja leipa,116.25
2009M09,0112 Liha,116.1
2009M09,01141 Maito,129.95
2009M09,01144 Juustot ja rahkat,119.08
2009M09,01151 Voi,91.43
2009M09,011612 Banaanit,92.7
2009M09,011613 Omenat,108.92
2009M10,0111 Viljatuotteet ja leipa,110.77
2009M10,0112 Liha,110.59
2009M10,01141 Maito,123.09
2009M10,01144 Juustot ja rahkat,113.45
2009M10,01151 Voi,77.93
2009M10,011612 Banaanit,82.56
2009M10,011613 Omenat,102.77
2009M11,0111 Viljatuotteet ja leipa,110.69
2009M11,0112 Liha,110.41
2009M11,01141 Maito,123.53
2009M11,01144 Juustot ja rahkat,113.09
2009M11,01151 Voi,78.99
2009M11,011612 Banaanit,76.53
2009M11,011613 Omenat,101.93
2009M12,0111 Viljatuotteet ja leipa,110.7
2009M12,0112 Liha,109.99
2009M12,01141 Maito,123.39
2009M12,01144 Juustot ja rahkat,112.59
2009M12,01151 Voi,78.12
2009M12,011612 Banaanit,73.65
2009M12,011613 Omenat,103.82
2010M01,0111 Viljatuotteet ja leipa,110.29
2010M01,0112 Liha,109.68
2010M01,01141 Maito,122.77
2010M01,01144 Juustot ja rahkat,112.78
2010M01,01151 Voi,78.15
2010M01,011612 Banaanit,75.58
2010M01,011613 Omenat,104.17
2010M02,0111 Viljatuotteet ja leipa,111.02
